Item,Price,Ad ID,Location,Model,Details
 2014 Honda CB 36000 Kms ,30000," Added via phone on 29 May, Ad ID: 1221229889 "," Kurla West, Mumbai ", 2014 Honda CB 36000 Kms ," Brand: Honda Model: CB Year: 2014 KM Driven: 36,000 km "
 2013 Royal Enfield Thunderbird 25000 Kms ,70000," Added via phone on 29 May, Ad ID: 1218446179 "," Andheri East, Mumbai ", 2013 Royal Enfield Thunderbird 25000 Kms ," Brand: Royal Enfield Model: Thunderbird Year: 2013 KM Driven: 25,000 km "
 Made in Japan model 2000 year Hero Honda Splendor ,18000," Added via phone on 29 May, Ad ID: 1221233773 "," Trombay, Mumbai ", Made in Japan model 2000 year Hero Honda Splendor ," Brand: Hero Honda Model: Splendor Year: 2000 KM Driven: 69,999 km "
 Brand new 50cc petrol mini atv / quad bike / ,35000," Added via phone on 29 May, Ad ID: 1190017597 "," Bandra West, Mumbai ", Brand new 50cc petrol mini atv / quad bike / , Brand: Other Brands Year: 2018 KM Driven: 1 km 
 Urgnt sell or exchng with Avengr 220 ,66000," Added via phone on 29 May, Ad ID: 1221233823 "," Malad West, Mumbai ", Urgnt sell or exchng with Avengr 220 ," Brand: Other Brands Year: 2016 KM Driven: 20,000 km "
 Hero Honda Karizma 25000 Kms 2009 year ,25500," Added via phone on 29 May, Ad ID: 1221234759 "," Jai Ambe Nagar, Mumbai ", Hero Honda Karizma 25000 Kms 2009 year ," Brand: Hero Honda Model: Karizma Year: 2009 KM Driven: 25,000 km "
 Royal Enfield Bullet 15000 Kms 1984 year ,85000," Added via phone on 29 May, Ad ID: 1179498351 "," Kanakia Road, Mumbai ", Royal Enfield Bullet 15000 Kms 1984 year ," Brand: Royal Enfield Model: Bullet Year: 1984 KM Driven: 15,000 km "
 2014 Hero Others 21000 Kms ,41000," Added via phone on 29 May, Ad ID: 1221236421 "," Erangal, Mumbai ", 2014 Hero Others 21000 Kms ," Brand: Hero Model: Others Year: 2014 KM Driven: 21,000 km "
 2011 Bajaj Pulsar 62123 Kms ,34000," Added via phone on 29 May, Ad ID: 1221237855 "," Byculla, Mumbai ", 2011 Bajaj Pulsar 62123 Kms ," Brand: Bajaj Model: Pulsar Year: 2011 KM Driven: 62,123 km "
 Honda Others 20000 Kms 2016 year ,45000," Added via phone on 29 May, Ad ID: 1221234187 "," Bhakti Park, Mumbai ", Honda Others 20000 Kms 2016 year ," Brand: Honda Model: Others Year: 2016 KM Driven: 20,000 km "
 2012 Bajaj Avenger 25000 Kms ,65000," Added via phone on 29 May, Ad ID: 1212808633 "," Nalasopara East, Mumbai ", 2012 Bajaj Avenger 25000 Kms ," Brand: Bajaj Model: Avenger Year: 2010 KM Driven: 25,000 km "
 Bajaj Pulsar 80000 Kms 2005 year ,12000," Added via phone on 29 May, Ad ID: 1221245929 "," Andheri East, Mumbai ", Bajaj Pulsar 80000 Kms 2005 year ," Brand: Bajaj Model: Pulsar Year: 2012 KM Driven: 80,000 km "
 Bajaj Pulsar 50000 Kms 2005 year ,8000," Added via phone on 29 May, Ad ID: 1221242545 "," Vrindavan, Mumbai ", Bajaj Pulsar 50000 Kms 2005 year ," Brand: Bajaj Model: Pulsar Year: 2005 KM Driven: 50,000 km "
 2011 Honda Others 112000 Kms ,25000," Added via phone on 29 May, Ad ID: 1221248057 "," Chembur, Mumbai ", 2011 Honda Others 112000 Kms ," Brand: Honda Model: Others Year: 2011 KM Driven: 1,12,000 km "
 Kawasaki ninja Z250 bike all paper clear first ,245000," Added via phone on 29 May, Ad ID: 1214570481 "," Govandi, Mumbai ", Kawasaki ninja Z250 bike all paper clear first ," Brand: Other Brands Year: 2016 KM Driven: 10,000 km "
 Honda CB 15000 Kms 2014 year ,42000," Added via phone on 29 May, Ad ID: 1218746481 "," Govandi, Mumbai ", Honda CB 15000 Kms 2014 year ," Brand: Honda Model: CB Year: 2014 KM Driven: 15,000 km "
 Royal Enfield Classic 350 (resellers excuse) ,100000," Added on 29 May, Ad ID: 1197343835 "," Andheri East, Mumbai ", Royal Enfield Classic 350 (resellers excuse) ," Brand: Royal Enfield Model: Classic Year: 2014 KM Driven: 30,000 km "
 2014 Bajaj Pulsar 33500 Kms 220 ,45000," Added via phone on 29 May, Ad ID: 1221253073 "," Tilak Nagar, Mumbai ", 2014 Bajaj Pulsar 33500 Kms 220 ," Brand: Bajaj Model: Pulsar Year: 2014 KM Driven: 33,500 km "
 2015 Bajaj Pulsar 21000 Kms ,51000," Added via phone on 29 May, Ad ID: 1221255255 "," Borivali West, Mumbai ", 2015 Bajaj Pulsar 21000 Kms ," Brand: Bajaj Model: Pulsar Year: 2015 KM Driven: 21,000 km "
 Bajaj Pulsar 7000 Kms 2017 year ,138000," Added via phone on 29 May, Ad ID: 1214569919 "," Govandi, Mumbai ", Bajaj Pulsar 7000 Kms 2017 year ," Brand: Bajaj Model: Pulsar Year: 2017 KM Driven: 7,000 km "
 Want to sell my Karizma R Model 2013 Owner 2 ,42500," Added via phone on 29 May, Ad ID: 1221233343 "," Chembur, Mumbai ", Want to sell my Karizma R Model 2013 Owner 2 ," Brand: Other Brands Year: 2013 KM Driven: 45,000 km "
 300km 500cc Thunderbird 2017. BULLET RAJA Bikes ,150000," Added via phone on 29 May, Ad ID: 1218797931 "," Mulund West, Mumbai ", 300km 500cc Thunderbird 2017. BULLET RAJA Bikes , Brand: Royal Enfield Model: Thunderbird Year: 2017 KM Driven: 300 km 
 Benelli TNT 250 in very good condition . Two ,150000," Added via phone on 29 May, Ad ID: 1201725129 "," Fort, Mumbai ", Benelli TNT 250 in very good condition . Two ," Brand: Other Brands Year: 2016 KM Driven: 12,000 km "
 2005 Royal Enfield Bullet 51000 Kms ,85000," Added via phone on 29 May, Ad ID: 1210465223 "," Khar West, Mumbai ", 2005 Royal Enfield Bullet 51000 Kms ," Brand: Royal Enfield Model: Bullet Year: 2005 KM Driven: 51,000 km "
 2012 Bajaj Discover 14000 Kms ,35000," Added via phone on 29 May, Ad ID: 1144709825 "," Virar East, Mumbai ", 2012 Bajaj Discover 14000 Kms ," Brand: Bajaj Model: Discover Year: 2012 KM Driven: 14,000 km "
 2018 Bajaj Avenger 650 Kms ,95000," Added via phone on 29 May, Ad ID: 1221290219 "," Khar West, Mumbai ", 2018 Bajaj Avenger 650 Kms , Brand: Bajaj Model: Avenger Year: 2018 KM Driven: 650 km 
 USA brand name UM wanna sale interested person ,150000," Added via phone on 29 May, Ad ID: 1221278633 "," Chandrapada, Mumbai ", USA brand name UM wanna sale interested person ," Brand: Other Brands Year: 2018 KM Driven: 1,500 km "
 Honda CB Shine 125 cc 7719 Kms 2016 year ,45000," Added via phone on 29 May, Ad ID: 1221284431 "," Goregaon West, Mumbai ", Honda CB Shine 125 cc 7719 Kms 2016 year ," Brand: Honda Model: Others Year: 2016 KM Driven: 7,719 km "
 2015 Bajaj Pulsar 33000 Kms ,50000," Added via phone on 29 May, Ad ID: 1221290313 "," Bhandup West, Mumbai ", 2015 Bajaj Pulsar 33000 Kms ," Brand: Bajaj Model: Pulsar Year: 2015 KM Driven: 33,000 km "
 2017 KTM 390 Super Duke ABS 12000 Kms ,190000," Added via phone on 22 May, Ad ID: 1214575973 "," Mulund West, Mumbai ", 2017 KTM 390 Super Duke ABS 12000 Kms ," Brand: KTM Model: 390 Duke ABS Year: 2017 KM Driven: 12,000 km "
 2015 Benelli 600 i with ixil exhaust BULLET RAJA Bikes ,399999," Added via phone on 15 May, Ad ID: 1211278863 "," Mulund West, Mumbai ", 2015 Benelli 600 i with ixil exhaust BULLET RAJA Bikes ," Brand: Other Brands Year: 2015 KM Driven: 20,000 km "
 2009 Royal Enfield Bullet 60000 Kms ,80000," Added via phone on 28 May, Ad ID: 1220987029 "," Samata Nagar, Mumbai ", 2009 Royal Enfield Bullet 60000 Kms ," Brand: Royal Enfield Model: Bullet Year: 2009 KM Driven: 60,000 km "
 2017 Royal Enfield Classic 4900 Kms ,140000," Added via phone on 28 May, Ad ID: 1220988833 "," Waterfield Road Bandra West, Mumbai ", 2017 Royal Enfield Classic 4900 Kms ," Brand: Royal Enfield Model: Classic Year: 2017 KM Driven: 4,900 km "
 Honda Others 60726 Kms 2015 year ,40000," Added via phone on 28 May, Ad ID: 1220985821 "," Naya Nagar, Mumbai ", Honda Others 60726 Kms 2015 year ," Brand: Honda Model: Others Year: 2015 KM Driven: 60,726 km "
 Hero Ignitor 8000 Kms 2017 year.9322.779993. ,45000," Added via phone on 28 May, Ad ID: 1212271537 "," Bhandup Industrial Area, Mumbai ", Hero Ignitor 8000 Kms 2017 year.9322.779993. ," Brand: Hero Model: Ignitor Year: 2017 KM Driven: 8,000 km "
 2001 Bajaj Others 30000 Kms ,25000," Added via phone on 28 May, Ad ID: 1220990061 "," Ghatkopar West, Mumbai ", 2001 Bajaj Others 30000 Kms ," Brand: Bajaj Model: Others Year: 2001 KM Driven: 30,000 km "
 2012 Bajaj Pulsar 50000 Kms ,39000," Added via phone on 29 May, Ad ID: 1221293325 "," Kalyan West, Mumbai ", 2012 Bajaj Pulsar 50000 Kms ," Brand: Bajaj Model: Pulsar Year: 2012 KM Driven: 50,000 km "
 2016 Royal Enfield Classic 11800 Kms ,130000," Added via phone on 28 May, Ad ID: 1220997851 "," Vasai West, Mumbai ", 2016 Royal Enfield Classic 11800 Kms ," Brand: Royal Enfield Model: Classic Year: 2016 KM Driven: 11,800 km "
 Bajaj Avenger 50000 Kms 2011 year ,29000," Added via phone on 28 May, Ad ID: 1220999247 "," Borivali East, Mumbai ", Bajaj Avenger 50000 Kms 2011 year ," Brand: Bajaj Model: Avenger Year: 2011 KM Driven: 50,000 km "
 KTM RC 390 2015 year ,145000," Added via phone on 28 May, Ad ID: 1203393501 "," Vasai West, Mumbai ", KTM RC 390 2015 year ," Brand: KTM Model: RC Year: 2015 KM Driven: 15,000 km "
 2008 Bajaj Avenger 30000 Kms ,39000," Added via phone on 28 May, Ad ID: 1221002391 "," Cotton Green, Mumbai ", 2008 Bajaj Avenger 30000 Kms ," Brand: Bajaj Model: Avenger Year: 2008 KM Driven: 30,000 km "
 2008 Honda Others 40000 Kms ,15000," Added via phone on 28 May, Ad ID: 1221007013 "," Sion West, Mumbai ", 2008 Honda Others 40000 Kms ," Brand: Honda Model: Others Year: 2008 KM Driven: 40,000 km "
 Bajaj Pulsar 17000 Kms 2013 year ,45000," Added via phone on 28 May, Ad ID: 1221001163 "," Altamount Road, Mumbai ", Bajaj Pulsar 17000 Kms 2013 year ," Brand: Bajaj Model: Pulsar Year: 2013 KM Driven: 17,000 km "
 2010 Hero Honda Others 25000 Kms ,34999," Added via phone on 28 May, Ad ID: 1220997359 "," Mira Road, Mumbai ", 2010 Hero Honda Others 25000 Kms ," Brand: Hero Honda Model: Others Year: 2010 KM Driven: 25,000 km "
 Yamaha Others 17000 Kms 2009 year ,38000," Added via phone on 28 May, Ad ID: 1220992689 "," Bandra East, Mumbai ", Yamaha Others 17000 Kms 2009 year ," Brand: Yamaha Model: Others Year: 2009 KM Driven: 17,000 km "
 Bajaj Discover 17000 Kms 2005 year ,16000," Added via phone on 28 May, Ad ID: 1221009279 "," Malad West, Mumbai ", Bajaj Discover 17000 Kms 2005 year ," Brand: Bajaj Model: Discover Year: 2005 KM Driven: 17,000 km "
 Bajaj Pulsar 32000 Kms 2007 year ,25000," Added via phone on 28 May, Ad ID: 1221014805 "," Govandi, Mumbai ", Bajaj Pulsar 32000 Kms 2007 year ," Brand: Bajaj Model: Pulsar Year: 2007 KM Driven: 32,000 km "
 Honda Others 27000 Kms 2012 year ,36000," Added via phone on 28 May, Ad ID: 1221013955 "," Chira Bazar, Mumbai ", Honda Others 27000 Kms 2012 year ," Brand: Honda Model: Others Year: 2012 KM Driven: 27,000 km "
 Hero Honda CBZ 76000 Kms 2012 year ,18000," Added via phone on 28 May, Ad ID: 1221021397 "," Mazagaon, Mumbai ", Hero Honda CBZ 76000 Kms 2012 year ," Brand: Hero Honda Model: CBZ Year: 2012 KM Driven: 76,000 km "
 2016 Royal Enfield Classic 22000 Kms ,115555," Added via phone on 28 May, Ad ID: 1221012167 "," Vikhroli West, Mumbai ", 2016 Royal Enfield Classic 22000 Kms ," Brand: Royal Enfield Model: Classic Year: 2016 KM Driven: 22,000 km "
 2017 KTM Duke 200 8000 Kms ,130000," Added via phone on 28 May, Ad ID: 1221018715 "," Gaothan Kalyan, Mumbai ", 2017 KTM Duke 200 8000 Kms ," Brand: KTM Model: Duke 200 Year: 2017 KM Driven: 8,000 km "
 Honda Others 98000 Kms 2005 year ,11500," Added via phone on 28 May, Ad ID: 1200384791 "," V P ROAD, Mumbai ", Honda Others 98000 Kms 2005 year ," Brand: Honda Model: Others Year: 2005 KM Driven: 98,000 km "
 Bajaj Pulsar 38858 Kms 2014 year ,45000," Added via phone on 28 May, Ad ID: 1190440887 "," Kurla West, Mumbai ", Bajaj Pulsar 38858 Kms 2014 year ," Brand: Bajaj Model: Pulsar Year: 2014 KM Driven: 38,858 km "
 2016 Royal Enfield Thunderbird 8545 Kms ,140000," Added via phone on 28 May, Ad ID: 1221023325 "," Cotton Green, Mumbai ", 2016 Royal Enfield Thunderbird 8545 Kms ," Brand: Royal Enfield Model: Thunderbird Year: 2016 KM Driven: 8,545 km "
 Royal Enfield Thunderbird 6000 Kms 2014 year ,120000," Added via phone on 28 May, Ad ID: 1221024337 "," Dadar West, Mumbai ", Royal Enfield Thunderbird 6000 Kms 2014 year ," Brand: Royal Enfield Model: Thunderbird Year: 2014 KM Driven: 6,000 km "
 Honda CB 43011 Kms 2012 year ,37000," Added via phone on 28 May, Ad ID: 1221030337 "," Kandivali West, Mumbai ", Honda CB 43011 Kms 2012 year ," Brand: Honda Model: CB Year: 2012 KM Driven: 43,011 km "
 Royal Enfield Others 12600 Kms 2016 year ,160000," Added via phone on 28 May, Ad ID: 1221029153 "," Vasai West, Mumbai ", Royal Enfield Others 12600 Kms 2016 year ," Brand: Royal Enfield Model: Others Year: 2016 KM Driven: 12,600 km "
 2015 Honda Others 10000 Kms ,60000," Added via phone on 28 May, Ad ID: 1216535927 "," Jogeshwari East, Mumbai ", 2015 Honda Others 10000 Kms ," Brand: Honda Model: Others Year: 2015 KM Driven: 10,000 km "
 2009 Honda CB 44000 Kms ,19999," Added via phone on 28 May, Ad ID: 1137192293 "," Andheri East, Mumbai ", 2009 Honda CB 44000 Kms ," Brand: Honda Model: CB Year: 2009 KM Driven: 44,000 km "
 Honda CB 4900 Kms 2017 year ,80000," Added via phone on 28 May, Ad ID: 1221028511 "," Jogeshwari East, Mumbai ", Honda CB 4900 Kms 2017 year ," Brand: Honda Model: CB Year: 2017 KM Driven: 4,900 km "
 2006 Honda CB 41500 Kms ,21000," Added via phone on 28 May, Ad ID: 1221024245 "," Bhayandar East, Mumbai ", 2006 Honda CB 41500 Kms ," Brand: Honda Model: CB Year: 2006 KM Driven: 41,500 km "
 Bajaj Discover 30000 Kms 2013 year ,38000," Added via phone on 28 May, Ad ID: 1221032655 "," Vrindavan, Mumbai ", Bajaj Discover 30000 Kms 2013 year ," Brand: Bajaj Model: Discover Year: 2013 KM Driven: 30,000 km "
 Mahindra Mojo Unique Motors & Auto Consultant BUY ,105000," Added via phone on 28 May, Ad ID: 1219668341 "," Jogeshwari West, Mumbai ", Mahindra Mojo Unique Motors & Auto Consultant BUY ," Brand: Other Brands Year: 2016 KM Driven: 21,268 km "
 2016 Bajaj Avenger 15000 Kms ,46000," Added via phone on 28 May, Ad ID: 1221035137 "," Ghatkopar West, Mumbai ", 2016 Bajaj Avenger 15000 Kms ," Brand: Bajaj Model: Avenger Year: 2016 KM Driven: 15,000 km "
 Honda CB 88203 Kms 2011 year ,26000," Added via phone on 28 May, Ad ID: 1208419933 "," Andheri West, Mumbai ", Honda CB 88203 Kms 2011 year ," Brand: Honda Model: CB Year: 2011 KM Driven: 88,203 km "
 Honda Others 15000 Kms 2017 year ,55000," Added via phone on 28 May, Ad ID: 1221036623 "," Vatsalabai Naik Nagar, Mumbai ", Honda Others 15000 Kms 2017 year ," Brand: Honda Model: Others Year: 2017 KM Driven: 15,000 km "
 Bajaj Pulsar 11000 Kms 2016 year ,65000," Added via phone on 28 May, Ad ID: 1221035789 "," Mumbai Fort Area, Mumbai ", Bajaj Pulsar 11000 Kms 2016 year ," Brand: Bajaj Model: Pulsar Year: 2016 KM Driven: 11,000 km "
" Excellent condition FZ, only 7478 km ridden ",68000," Added on 28 May, Ad ID: 1221035367 "," Mira Road, Mumbai "," Excellent condition FZ, only 7478 km ridden "," Brand: Yamaha Model: FZS Year: 2015 KM Driven: 7,480 km "
 Honda Others 44000 Kms 2013 year ,45000," Added via phone on 28 May, Ad ID: 1221037251 "," Vikhroli West, Mumbai ", Honda Others 44000 Kms 2013 year ," Brand: Honda Model: Others Year: 2013 KM Driven: 43,000 km "
 Bajaj Pulsar 39000 Kms 2014 year ,47000," Added via phone on 28 May, Ad ID: 1221037537 "," Kurla West, Mumbai ", Bajaj Pulsar 39000 Kms 2014 year ," Brand: Bajaj Model: Pulsar Year: 2014 KM Driven: 39,000 km "
 Yamaha FZS 28000 Kms 2016 year. Loan possible for local people ,65000," Added via phone on 4 May, Ad ID: 1212043317 "," Kandivali West, Mumbai ", Yamaha FZS 28000 Kms 2016 year. Loan possible for local people ," Brand: Yamaha Model: FZS Year: 2016 KM Driven: 28,000 km "
 2008 Honda Others 605157 Kms ,18000," Added via phone on 28 May, Ad ID: 1221149809 "," Ambarnath, Mumbai ", 2008 Honda Others 605157 Kms ," Brand: Honda Model: Others Year: 2008 KM Driven: 6,05,157 km "
 2013 Yamaha Others 34257 Kms ,43999," Added via phone on 28 May, Ad ID: 1221147225 "," Nalasopara East, Mumbai ", 2013 Yamaha Others 34257 Kms ," Brand: Yamaha Model: Others Year: 2013 KM Driven: 34,257 km "
 Custom harley davidson street glide. with music ,1300000," Added via phone Yesterday, Ad ID: 1222150835 "," Goregaon East, Mumbai ", Custom harley davidson street glide. with music ," Brand: Other Brands Year: 2014 KM Driven: 19,000 km "
 2011 Bajaj Avenger 50000 Kms ,29000," Added via phone on 28 May, Ad ID: 1221038203 "," Borivali West, Mumbai ", 2011 Bajaj Avenger 50000 Kms ," Brand: Bajaj Model: Avenger Year: 2011 KM Driven: 50,000 km "
 Suzuki V Strom DL1000 ..2003 ..15000 Kms ,550000," Added via phone on 27 May, Ad ID: 1220532231 "," Bandra West, Mumbai ", Suzuki V Strom DL1000 ..2003 ..15000 Kms ," Brand: Suzuki Model: V Storm Year: 2003 KM Driven: 15,000 km "
 1997 Yamaha Others 100000 Kms ,39999," Added via phone on 28 May, Ad ID: 1214964241 "," Vidyavihar West, Mumbai ", 1997 Yamaha Others 100000 Kms ," Brand: Yamaha Model: Others Year: 1997 KM Driven: 1,00,000 km "
 Honda CB 44100 Kms 2014 year ,35000," Added via phone on 28 May, Ad ID: 1221156609 "," Vikhroli West, Mumbai ", Honda CB 44100 Kms 2014 year ," Brand: Honda Model: CB Year: 2014 KM Driven: 44,100 km "
 Honda CB 7000 Kms 2016 year ,68000," Added via phone on 28 May, Ad ID: 1221153419 "," Grant Road Area, Mumbai ", Honda CB 7000 Kms 2016 year ," Brand: Honda Model: CB Year: 2016 KM Driven: 7,000 km "
 Royal Enfield Himalayan 13800 Kms 2016 year ,150000," Added via phone on 28 May, Ad ID: 1216732011 "," Chira Bazar, Mumbai ", Royal Enfield Himalayan 13800 Kms 2016 year ," Brand: Royal Enfield Model: Others Year: 2016 KM Driven: 13,800 km "
 Bajaj Pulsar 150000 Kms 2004 year ,10000," Added via phone on 28 May, Ad ID: 1221156065 "," MIDC Road, Mumbai ", Bajaj Pulsar 150000 Kms 2004 year ," Brand: Bajaj Model: Pulsar Year: 2004 KM Driven: 1,50,000 km "
 2008 Honda Others 73000 Kms still running without engine work ,23110," Added via phone on 28 May, Ad ID: 1180611999 "," Kurla West, Mumbai ", 2008 Honda Others 73000 Kms still running without engine work ," Brand: Honda Model: Others Year: 2008 KM Driven: 70,000 km "
 Honda CB 45000 Kms 2011 year ,43000," Added via phone on 28 May, Ad ID: 1221152509 "," Currey Road, Mumbai ", Honda CB 45000 Kms 2011 year ," Brand: Honda Model: CB Year: 2011 KM Driven: 45,000 km "
 2017 Bajaj Pulsar 15000 Kms ,65000," Added via phone on 28 May, Ad ID: 1195594433 "," Ghatkopar East, Mumbai ", 2017 Bajaj Pulsar 15000 Kms ," Brand: Bajaj Model: Pulsar Year: 2017 KM Driven: 15,000 km "
 TVS Apache RTR 1100 Kms 2018 year ,238000," Added via phone on 28 May, Ad ID: 1221162661 "," Ghatkopar East, Mumbai ", TVS Apache RTR 1100 Kms 2018 year ," Brand: TVS Model: Apache RTR Year: 2018 KM Driven: 1,100 km "
 Hero Honda CBZ 5795 Kms 2013 year ,48000," Added via phone on 28 May, Ad ID: 1221164323 "," Wadala West, Mumbai ", Hero Honda CBZ 5795 Kms 2013 year ," Brand: Hero Honda Model: CBZ Year: 2013 KM Driven: 5,795 km "
 2010 Honda CB 20000 Kms ,32000," Added via phone on 28 May, Ad ID: 1221166301 "," Dharavi, Mumbai ", 2010 Honda CB 20000 Kms ," Brand: Honda Model: CB Year: 2010 KM Driven: 20,000 km "
 Bajaj Pulsar 20000 Kms 2012 year ,22000," Added via phone on 28 May, Ad ID: 1221167521 "," Tulshet Pada, Mumbai ", Bajaj Pulsar 20000 Kms 2012 year ," Brand: Bajaj Model: Pulsar Year: 2012 KM Driven: 20,000 km "
 bike for sale ,12000," Added via phone on 28 May, Ad ID: 1221161175 "," Mahalakshmi, Mumbai ", bike for sale ," Brand: Other Brands Year: 2000 KM Driven: 25,000 km "
 Royal Enfield Bullet 46000 Kms 1988 year ,70000," Added via phone on 28 May, Ad ID: 1160155255 "," Jogeshwari–Vikhroli Link Road (JVLR), Mumbai ", Royal Enfield Bullet 46000 Kms 1988 year ," Brand: Royal Enfield Model: Bullet Year: 1988 KM Driven: 46,000 km "
 Hero Honda Passion 88888 Kms 2004 year ,10000," Added via phone on 28 May, Ad ID: 1221175259 "," Govandi, Mumbai ", Hero Honda Passion 88888 Kms 2004 year ," Brand: Hero Honda Model: Passion Year: 2004 KM Driven: 88,888 km "
 2017 Yamaha YZF R15 V2 10000 Kms ,99999," Added via phone on 28 May, Ad ID: 1221172667 "," Virar East, Mumbai ", 2017 Yamaha YZF R15 V2 10000 Kms ," Brand: Yamaha Model: YBR Year: 2017 KM Driven: 10,000 km "
 Suzuki Gixxer 7000 Kms 2017 year ,75000," Added via phone on 28 May, Ad ID: 1221163151 "," Dadar East, Mumbai ", Suzuki Gixxer 7000 Kms 2017 year ," Brand: Suzuki Model: Gixxer Year: 2017 KM Driven: 7,000 km "
 2011 Honda CB Twister ,26000," Added via phone on 28 May, Ad ID: 1221177461 "," Versova, Mumbai ", 2011 Honda CB Twister ," Brand: Honda Model: Others Year: 2011 KM Driven: 40,000 km "
 Honda CBR 30000 Kms 2013 year ,85000," Added via phone on 28 May, Ad ID: 1221177881 "," Chembur, Mumbai ", Honda CBR 30000 Kms 2013 year ," Brand: Honda Model: CBR Year: 2013 KM Driven: 30,000 km "
 2016 Bajaj Pulsar 9510 Kms ,110000," Added via phone on 28 May, Ad ID: 1221170049 "," Chembur, Mumbai ", 2016 Bajaj Pulsar 9510 Kms ," Brand: Bajaj Model: Pulsar Year: 2016 KM Driven: 9,510 km "
 2011 TVS Apache RTR 44000 Kms ,32000," Added via phone on 28 May, Ad ID: 1167056629 "," Kurla West, Mumbai ", 2011 TVS Apache RTR 44000 Kms ," Brand: TVS Model: Apache RTR Year: 2011 KM Driven: 44,000 km "
 Honda CB 48000 Kms 2014 year ,50000," Added via phone on 28 May, Ad ID: 1221184267 "," Erangal, Mumbai ", Honda CB 48000 Kms 2014 year ," Brand: Honda Model: CB Year: 2014 KM Driven: 48,000 km "
 Yamaha FZS 42000 Kms 2012 year ,31000," Added via phone on 28 May, Ad ID: 1221179935 "," Vazira, Mumbai ", Yamaha FZS 42000 Kms 2012 year ," Brand: Yamaha Model: FZS Year: 2012 KM Driven: 42,000 km "
 2017 Honda CB 8000 Kms ,70000," Added via phone on 28 May, Ad ID: 1221184163 "," Byculla, Mumbai ", 2017 Honda CB 8000 Kms ," Brand: Honda Model: CB Year: 2017 KM Driven: 8,000 km "
 Hero Honda Others 350000 Kms 2009 year ,29786," Added via phone on 28 May, Ad ID: 1221178579 "," Malad West, Mumbai ", Hero Honda Others 350000 Kms 2009 year ," Brand: Hero Honda Model: Others Year: 2009 KM Driven: 3,50,000 km "
 Honda Others 50000 Kms 2007 year ,12000," Added via phone on 28 May, Ad ID: 1221184495 "," Ushma Nagar, Mumbai ", Honda Others 50000 Kms 2007 year ," Brand: Honda Model: Others Year: 2007 KM Driven: 50,000 km "
" Bajaj Pulsar 49500 Kms 2013 end"" year"" ",26000," Added via phone on 28 May, Ad ID: 1221175945 "," Jogeshwari West, Mumbai "," Bajaj Pulsar 49500 Kms 2013 end"" year"" "," Brand: Bajaj Model: Pulsar Year: 2013 KM Driven: 49,500 km "
 Honda Others 15000 Kms 2016 year ,46000," Added via phone on 28 May, Ad ID: 1221187809 "," Versova, Mumbai ", Honda Others 15000 Kms 2016 year ," Brand: Honda Model: Others Year: 2016 KM Driven: 15,000 km "
 2008 Hero Honda CBZ 46222 Kms ,18000," Added via phone on 28 May, Ad ID: 1221186971 "," Beverly Park, Mumbai ", 2008 Hero Honda CBZ 46222 Kms ," Brand: Hero Honda Model: CBZ Year: 2008 KM Driven: 46,222 km "
 2013 KAWASAKI Ninja 650 ,299999," Added via phone on 28 May, Ad ID: 1221136369 "," Mulund West, Mumbai ", 2013 KAWASAKI Ninja 650 ," Brand: Other Brands Year: 2013 KM Driven: 12,000 km "
 Himalayan 2016 Model. Just 300kms Run. Its A Demo Vehicle So Less Run. ,120000," Added via phone on 23 May, Ad ID: 1219169131 "," Kandivali West, Mumbai ", Himalayan 2016 Model. Just 300kms Run. Its A Demo Vehicle So Less Run. , Brand: Royal Enfield Model: Others Year: 2016 KM Driven: 310 km 
" Gixxer 150 in Excellent Condition, only 15,700 Kms !! ",50000," Added on 28 May, Ad ID: 1214815817 "," Andheri West, Mumbai "," Gixxer 150 in Excellent Condition, only 15,700 Kms !! "," Brand: Suzuki Model: GSX Year: 2015 KM Driven: 15,700 km "
 Bajaj Discover 24000 Kms 2013 year ,30000," Added via phone on 28 May, Ad ID: 1220917323 "," Tardeo, Mumbai ", Bajaj Discover 24000 Kms 2013 year ," Brand: Bajaj Model: Discover Year: 2013 KM Driven: 24,000 km "
 Bike sell on 30000 rs ONLY Good condition ,30000," Added on 28 May, Ad ID: 1220921283 "," Kurla West, Mumbai ", Bike sell on 30000 rs ONLY Good condition ," Brand: Other Brands Year: 2012 KM Driven: 42,000 km "
 Benelli Tnt 300 for sale Model dec 2016 Odo 33k ,240000," Added via phone on 28 May, Ad ID: 1220918135 "," Mira Road, Mumbai ", Benelli Tnt 300 for sale Model dec 2016 Odo 33k ," Brand: Other Brands Year: 2016 KM Driven: 32,000 km "
 Bajaj Avenger 19000 Kms 2009 year ,85000," Added via phone on 28 May, Ad ID: 1220921027 "," Vishal hall, Mumbai ", Bajaj Avenger 19000 Kms 2009 year ," Brand: Bajaj Model: Avenger Year: 2009 KM Driven: 19,000 km "
 2015 Suzuki Gixxer 9000 Kms ,55000," Added via phone on 28 May, Ad ID: 1220917799 "," G T B Nagar, Mumbai ", 2015 Suzuki Gixxer 9000 Kms ," Brand: Suzuki Model: Gixxer Year: 2015 KM Driven: 9,000 km "
 2017 Honda Others 5250 Kms ,53500," Added via phone on 28 May, Ad ID: 1220927397 "," Borivali East, Mumbai ", 2017 Honda Others 5250 Kms ," Brand: Honda Model: Others Year: 2017 KM Driven: 50,250 km "
